Final annotation,Text,English Translation
Stereotype,"সবাই জানে, কেউ ভালো বললেই মেয়েরা গলে যায় আবার কেউ খারাপ বললেই বরফের মতো রূপ ধারণ করে","Everyone knows that girls melt when someone praises them, and become like ice when someone criticizes them."
Stereotype,"যতই পড়াশুনা করুক ,মেয়েদের শেষ পর্যন্ত হাত ধরতে হবে কোনো পুরুষ মানুষেরই","No matter how much they study, women will ultimately have to hold the hand of some man."
Sexual Harassment,"শিল্পপতি দের মাল, শরীর এর এ্যাড দিতাছে কতদামে কার কাছে বিক্রি হবে এটা দেখাইতাছে মিডিয়ার মাধ্যমে","She is an item for industrialists, advertising her body and showing through the media how much she will be sold for and to whom."
Stereotype,"বলে রাখি, তরুণী মেয়েরা অফিসে কান্নাকাটি করে নিজের ভুল ঢাকার চেষ্টা করে।",Let me say it clearly: young women cry in the office to cover up their own mistakes.
Sexual Harassment,বড় হয়ে তোর ছেলে দেখবে আমার মায়ের দুধ কত বড়,"When your son grows up, he will see how big his mother’s breasts are."
Stereotype,"অভিজ্ঞতা বলে, মেয়েমানুষ গসিপ করা পছন্দ করে",Experience says that women like gossiping.
Stereotype,মেয়েরা ঝুঁকিপূর্ণ কাজ এড়িয়ে চলতে পছন্দ করে,Women prefer to avoid risky work.
Non Misogynistic,মেয়েটা ছোট থেকেই স্বনির্ভর হওয়ার চেষ্টা করছেন,The girl has been trying to become self-reliant since childhood.
Stereotype,মেয়েদের নেটওয়ার্কিং স্কিল কম তাই ব্যবসায় টিকতে পারে না,"Women have poor networking skills, so they cannot survive in business."
Sexual Harassment,এই মাগিকে চুষতে কী যে লাগবে,I wonder what it would feel like to suck this bitch.
Non Misogynistic,মেয়েটা বৃত্তির টাকায় নিজের পড়াশোনার খরচ নিজেই চালাচ্ছে।,The girl is paying for her own education with her scholarship money.
Stereotype,সত্যি বলতে ছোট পোশাকে অভ্যস্ত মেয়েরা সংসারের জন্য মানানসই না।,"Honestly, girls who are used to wearing short clothes are not suitable for family life."
Sexual Harassment,"তুই দেশি মাল বিদেশি ফ্লেভার, যে খাবে টাকা ছাড়া নয়",You are local goods with a foreign flavor; whoever has you will not get it for free.
Stereotype,"মেয়েদের পিএইচডি ডিগ্রি মূলত নামকেওয়াস্তে, কোনো কাজেই আসে না যুগ যুগ ধরে চলে আসছে।",Women’s PhD degrees are basically just for show and are of no use; this has been going on for ages.
Derogation,"সারাদেশের বিদ্যুৎ নাই আর, এই মেয়ে গুলার গায়ে কারেন্টের অভাব নাই","The whole country has no electricity, but these girls have no shortage of electricity in their bodies."
Stereotype,যে সংসারে বউ বেশি শিক্ষিত সে সংসারে স্বামীর দাম নেই,"In a household where the wife is more educated, the husband has no value."
Stereotype,মেয়েরা গসিপ করে আত্মিক শান্তি পায়,Girls find spiritual peace through gossiping.
